Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2016 Ford Fusion,9,"Regular Unleaded I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3431,44.3,57.8,39.2,112.2,62.4,58.1,191.7,62.7,72.9,175,11.9,11.8,104,104,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2016 Honda Accord,8,"Regular Unleaded I-4, 2.4 L",Compact,Front Wheel Drive,2dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,2,5,3336,42.2,58.9,37.2,107.3,62.7,56.5,189.5,62.4,73,185,11.5,11.5,144,144,36000,3,5,5,No,Yes,Yes,No,Yes,No,Yes,No,Yes
2016 Kia Optima,9,"Regular Unleaded I-4, 2.4 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3362,45.5,58.1,39.8,110.4,63.4,57.7,191.1,63.1,73.2,185,11.2,12,119,119,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2016 Lexus LS,8,"Premium Unleaded V-8, 4.6 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4651,43.7,58.5,38,116.9,63.6,58.3,200,63.6,73.8,360,13.1,14,135,135,50000,4,6,6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2016 Lincoln MKZ,8,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3874,44.3,57.7,37.9,112.2,62,58.1,194.1,62.3,73.4,240,12.4,12.4,144,144,50000,4,5,6,No,Yes,Yes,Yes,No,No,No,Yes,Yes
2016 Volvo XC90,8,"Intercooled Turbo Regular Unleaded I-4, 2.0 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4394,40.9,57.7,38.9,117.5,66.1,69.9,194.8,66,79.1,250,12.1,13.2,180,180,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2015 Audi Q5,8,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4079,41,57.7,39.4,110.5,63.5,65.2,182.6,63.7,74.7,220,11.8,12.6,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,No,No
2015 BMW 7-Series,9,"Intercooled Turbo Diesel I-6, 3.0 L",Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4685,41.2,59.2,40.8,126.4,65,58.3,205.3,63.4,74.9,255,14.5,14.7,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2015 Buick Lacrosse,8,"Gas/Electric I4, 2.4L",Midsize,Front Wheel Drive,4dr Car,Power,Aluminum,Aluminum,MacPherson Strut,4-Link,6,4,5,3756,41.7,57.4,38,111.7,62,59.2,196.9,61.7,73.1,182,5.75,14.04,127.5,119,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2015 Ford Fusion,9,"Regular Unleaded I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3431,44.3,57.8,39.2,112.2,62.4,58.1,191.7,62.7,72.9,175,11.9,11.8,104,104,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2015 INFINITI Q50,8,"Premium Unleaded V-6, 3.7 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,7,4,5,3748,44.5,56.7,40.2,112.2,60.2,57.2,188.3,59.8,71.8,328,12.1,12.6,127.5,127.5,60000,4,7,6,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
