Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2020 Mercedes-Benz E Class,8,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Subcompact Car,All Wheel Drive,Convertible,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,9,2,4,3781,41.3,56.1,40.7,113.1,62.8,56.2,190.6,64.1,73.2,429,14.2,14.6,152,171,50000,4,4,4,Yes,Yes,No,No,Yes,Yes,No,No,Yes
2020 Mercedes-Benz GLE Class,7,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,9,4,5,4696,40.3,59.3,40.5,117.9,66.4,70.7,194.3,65.6,76.7,255,13,13,152,152,50000,4,4,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Ram 1500,6,"Gas/Electric V-6, 3.6 L",Small SUV 4WD,Rear Wheel Drive,Crew Cab Pickup - Short Bed,4-Wheel Disc,Aluminum,Aluminum,Short And Long Arm,Multi-Link,8,4,6,4878,40.9,66,40.9,144.5,68.1,77.5,232.9,68.5,82.1,305,14.8,14.9,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2016 Volvo XC90,8,"Intercooled Turbo Regular Unleaded I-4, 2.0 L",Standard SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,4394,40.9,57.7,38.9,117.5,66.1,69.9,194.8,66,79.1,250,12.1,13.2,180,180,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2014 BMW i8,9,"Intercooled Turbo Gas/Electric I-3, 1.5 L",Subcompact Car,All Wheel Drive,2dr Car,4-Wheel Disc,Forged Aluminum,Forged Aluminum,Double Wishbone,Multi-Link,6,2,4,3455,43.1,56.7,38.7,110.2,67.8,50.8,184.9,64.7,76.5,357,13,13.4,150,170,50000,4,12,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
2014 Ford Fusion,9,"Regular Unleaded I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Multi-Link,6,4,5,3431,44.3,57.8,39.2,112.2,62.4,58.1,191.7,62.7,72.9,175,11.9,11.8,104,104,36000,3,5,5,No,Yes,Yes,Yes,No,No,No,No,No
2014 INFINITI Q70,8,"Premium Unleaded V-6, 3.7 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,7,4,5,4063,44,58.4,39.1,114.2,61.6,59.6,194.7,62,72.6,330,12.1,12.6,144,144,60000,4,7,6,No,Yes,Yes,Yes,No,No,Yes,No,Yes
2014 INFINITI QX60,8,"Premium Unleaded V-6, 3.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,7,4419,42.3,60.3,40.7,114.2,65.7,68.6,196.4,65.7,77.2,265,12.1,12.6,135,135,60000,4,7,6,No,Yes,Yes,Yes,No,No,Yes,No,Yes
2014 Lexus LS,8,"Premium Unleaded V-8, 4.6 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4651,43.7,58.5,38,116.9,63.6,58.3,200,63.6,73.8,360,13.1,14,135,135,50000,4,6,6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2014 Mercedes-Benz S Class,9,"Twin Turbo Premium Unleaded V-8, 4.6 L",Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,7,4,5,4773,41.4,59.7,39.7,124.6,64.5,58.8,206.5,63.9,74.8,449,11.8,13.2,153,153,50000,4,4,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2014 Toyota Prius C,7,"Gas/Electric I-4, 1.5 L",Compact,Front Wheel Drive,4dr Car,Front Disc/Rear Drum,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,2500,41.7,52.3,38.6,100.4,58.1,56.9,157.3,58.3,66.7,99,10.2,10,75,75,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,No
2013 BMW 3-Series,8,"Gas I6, 3.0L",Subcompact Car,Rear Wheel Drive,Convertible,Power,Aluminum,Aluminum,MacPherson Strut,5-Link,6,2,4,3825,42,55.3,38,108.7,59.6,54.5,181.9,59.1,71.5,230,11.8,12.3,136,136,50000,4,12,4,No,No,No,No,Yes,Yes,Yes,No,No
2013 BMW 5-Series,8,"Turbocharged Gas I4, 2.0L",Midsize,Rear Wheel Drive,4dr Car,Power,Aluminum,Aluminum,Control Arm,Integral-V Multi-Arm,8,4,5,3714,41.4,58.3,39.1,116.85,64.055,57.637,192.874,62.992,73.228,245,10.224704,16.1797,136,136,50000,4,12,4,No,Yes,Yes,Yes,No,No,Yes,No,No
2013 BMW 7-Series,9,"Turbocharged Gas I6, 3.0L",Large Cars,Rear Wheel Drive,4dr Car,Power,Aluminum,Aluminum,Double Wishbone,Integral-V,8,4,5,4350,41.3,59.2,40.8,126.4,65,58.3,205.3,63.4,74.9,315,12.24,20.58,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2013 Ford Fusion,9,"Gas I4, 2.5L",Midsize,Front Wheel Drive,4dr Car,Power,Steel,Steel,MacPherson Strut,Multi-Link,6,4,5,3427,44.3,57.8,39.2,112.2,62.4,58.1,191.7,62.7,72.9,170,11.9,11.8,104,104,36000,3,5,5,Yes,Yes,Yes,Yes,No,No,No,No,No
2019 Acura RLX,7,"Gas/Electric V-6, 3.5 L",Midsize,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,7,4,5,4380,42.3,59.6,37.6,112.2,64.2,57.7,198.1,64.3,74.4,377,12.2,13,152,152,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Audi A8,8,"Intercooled Turbo Gas/Electric V-6, 3.0 L",Large Cars,All Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4751,41.5,59.1,38.3,123.1,64.3,58.5,208.7,64.7,76.6,335,13.8,14.8,171,171,50000,4,12,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Chevrolet Malibu,6,"Gas/Electric I4, 1.8L",Midsize,Front Wheel Drive,4dr Car,Power,Aluminum,Aluminum,MacPherson Strut,4-Link,1,4,5,3366,41.5,58.5,39.1,111.4,62.5,57.3,194.2,62.6,73,122,11.3,11.8,136,136,36000,3,6,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Chevrolet Volt,7,"Gas/Electric I4, 1.5L",Compact,Front Wheel Drive,4dr Car,Regenerative,Aluminum,Aluminum,MacPherson Strut,Compound Crank,1,4,5,3519,42.1,56.5,37.8,106.1,61.8,56.4,180.4,60.6,71.2,149,10,11,119,119,36000,3,6,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Ford Fusion,6,"Regular Unleaded I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Steel,Steel,Strut,Multi-Link,6,4,5,3410,44.3,57.8,39.2,112.2,62.4,58.1,191.7,62.7,75.2,175,11.9,11.8,104,104,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Honda Accord,7,"Gas/Electric I-4, 2.0 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3373,42.3,58.3,37.5,111.4,63.4,57.1,192.2,63,73.3,212,11.1,11.5,127.5,127.5,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Honda Clarity,6,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4024,42.2,59.7,39.1,108.3,62.5,58.2,192.7,62.2,73.9,161,12.2,12.3,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Honda Insight,7,"Gas/Electric I-4, 1.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3000,42.3,56.9,39.3,106.3,61.6,55.6,183.6,60.9,71.6,151,10.2,11.1,112,112,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Hyundai Ioniq,6,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,3164,42.2,56.1,39.1,106.3,61.6,57.1,176,61.2,71.7,118,11.2,11,104,104,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Hyundai Sonata,6,"Intercooled Turbo Regular Unleaded I-4, 1.6 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,7,4,5,3247,45.5,57.9,40.4,110.4,63.8,58.1,191.1,63.5,73.4,178,11.2,12,104,104,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Kia Niro,6,"Gas/Electric I-4, 1.6 L",Small Station Wagon,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3199,41.7,56,40.1,106.3,62.2,60.4,171.5,61.6,71.1,139,10.3,11,104,104,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Kia Optima,7,"Intercooled Turbo Regular Unleaded I-4, 1.6 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,7,4,5,3285,45.5,58.1,39.8,110.4,63.4,57.7,191.1,63.1,73.2,178,11.2,12,110.5,110.5,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Land Rover Range Rover Sport,8,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,5448,42.2,60.7,39.5,115,66.3,71,192.1,66.5,78.1,398,14.4,15,190,190,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2019 Lexus ES,8,"Gas/Electric I-4, 2.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3704,42.4,55.9,37.5,113,63.4,56.9,195.9,63,73.4,215,11.1,12,127.5,127.5,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Lexus LC,7,"Premium Unleaded V-8, 5.0 L",Subcompact Car,Rear Wheel Drive,2dr Car,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,10,2,4,4280,42,56.5,37.2,113,64.4,53,187.4,64.2,75.6,471,14.1,15.7,170,190,50000,4,6,6,No,Yes,Yes,No,Yes,No,No,No,Yes
2019 Lexus UX,6,"Premium Unleaded I-4, 2.0 L",Midsize,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,10,4,5,3307,42.1,55.1,36.6,103.9,61,60.6,177,61,72.4,169,11.1,12,126,126,50000,4,6,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Mercedes-Benz E Class,8,"Intercooled Turbo Gas/Electric I-6, 3.0 L",Subcompact Car,All Wheel Drive,Convertible,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,9,2,4,3781,41.3,56.1,40.7,113.1,62.8,56.2,190.6,64.1,73.2,429,14.2,14.6,152,171,50000,4,4,4,Yes,Yes,No,No,Yes,Yes,No,No,Yes
2019 Mitsubishi Outlander,6,"Regular Unleaded I-4, 2.4 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,7,3472,40.9,56.6,40.6,105.1,60.6,67.3,184.8,60.6,71.3,166,11.9,11.6,126,126,60000,5,7,10,No,Yes,Yes,Yes,No,No,No,No,Yes
2019 Nissan Rogue,6,"Regular Unleaded I-4, 2.5 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Steel,Steel,Strut,Multi-Link,1,4,5,3580,43,56.6,41.6,106.5,62.8,68.5,184.5,62.8,72.4,170,11.5,11.7,119,119,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2019 Ram 1500,6,"Gas/Electric V-6, 3.6 L",Small SUV 4WD,Rear Wheel Drive,Crew Cab Pickup - Short Bed,4-Wheel Disc,Aluminum,Aluminum,Short And Long Arm,Multi-Link,8,4,6,4964,40.9,66,40.9,144.5,68.1,77.5,232.9,68.5,82.1,305,14.8,14.9,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2019 Toyota Prius,6,"Gas/Electric I-4, 1.8 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3010,42.3,55,39.4,106.3,60.6,57.9,180,60.2,69.3,121,10.2,10,97.5,97.5,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2018 Ford C-Max,5,"Gas/Electric I-4, 2.0 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3640,43.1,55.9,41,104.3,60.4,63.9,173.6,60.5,72,188,11,10.9,119,119,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2018 Honda Clarity,6,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,4024,42.2,59.7,39.1,108.3,62.5,58.2,192.7,62.2,73.9,161,12.2,12.3,144,144,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2018 Mitsubishi Outlander,6,"Regular Unleaded I-4, 2.4 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,7,3494,40.9,56.6,40.6,105.1,60.6,67.3,184.8,60.6,71.3,166,11.9,11.6,126,126,60000,5,7,10,No,Yes,Yes,Yes,No,No,No,No,Yes
2018 Toyota Prius C,5,"Gas/Electric I-4, 1.5 L",Compact,Front Wheel Drive,4dr Car,Front Disc/Rear Drum,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,2530,41.7,52.3,37.9,100.4,58.1,58.7,159.8,58.5,67.5,99,9,10,75,75,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2017 Ford C-Max,5,"Gas/Electric I-4, 2.0 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3899,43.1,55.9,41,104.3,60.4,63.8,173.6,60.5,72,188,11,11.8,119,119,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2016 Acura RLX,8,"Premium Unleaded V-6, 3.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,6,4,5,4003,42.3,59.6,37.6,112.2,64.2,57.7,196.1,64.3,74.4,310,12.2,12.3,152,152,50000,4,5,6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2016 Audi Q5,8,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Multi-Link,Multi-Link,8,4,5,4200,41,57.7,39.4,110.5,63.5,65.2,182.6,63.7,74.7,220,11.8,12.6,144,144,50000,4,12,4,No,Yes,Yes,Yes,Yes,No,Yes,No,No
2016 Honda Accord,8,"Regular Unleaded I-4, 2.4 L",Compact,Front Wheel Drive,2dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,2,5,3336,42.2,58.9,37.2,107.3,62.7,56.5,189.5,62.4,73,185,11.5,11.5,144,144,36000,3,5,5,No,Yes,Yes,No,Yes,No,Yes,No,Yes
